# Franken Research daily watch census, 2026-09-26 (UTC). GitHub API only; written by watch/watch.mjs --apply. Do not edit by hand.
# Pins come from packets/*-assessment.md and are never edited. material_since_pin flags events that could move a master-matrix cell (release or tag dated after the pin, LICENSE text or SPDX, workflow file set, archived, renamed, deleted, pin no longer an ancestor of HEAD). Commits alone never do. Triage follows updates/METHOD.md.
repo	pin	head	head_date	commits_since_pin	releases_since_pin	license_spdx	license_changed_since_pin	workflows_count	workflows_changed_since_pin	archived	material_since_pin
asupersync	768595203e194573bb713158b5963f55861dfe2d	e753409d55d8779dcfd245e351ed63d5f5ca6e0f	2026-09-26T08:20:09Z	190	none	NOASSERTION	no	12	no	no	no
beads-for-frankentui	e1a842f6a1e37f9c5f9648634652163219aa461e	2c6fe856601bd680c16b409bc045efdc3b08c1ab	2026-09-24T22:10:15Z	7	none	none	no	1	no	no	no
beads_for_franken_engine	50e2709a59becd2cf33071f0aa031c5447635c04	50e2709a59becd2cf33071f0aa031c5447635c04	2026-03-09T00:20:12Z	0	none	none	no	1	no	no	no
franken_agent_detection	026f60b28784ca77c5b8e47e3dba9b22d154b4d9	c06d1cb14e0edb1cd82f1c58021d86b6beacd2de	2026-09-25T18:44:57Z	2	v0.3.1	MIT	no	5	no	no	yes: release v0.3.1 (2026-09-25, c06d1cb)
franken_alignment	d05cb8c8dcbf1e5057b9ba208ad3921e8107a487	6bada085f162dba1a18b836adcc721ac44a566b2	2026-09-26T05:41:04Z	59	none	NOASSERTION	no	0	no	no	no
franken_code_browser	cc8330d18b8da7b4ebd3571458fd51ef5d9d0a3e	fd21cbd02d53c9013dcda8f4f9f271ede5b39540	2026-09-26T05:51:56Z	51	v0.1.0	NOASSERTION	no	0	no	no	yes: release v0.1.0 (2026-09-23, c7c5310)
franken_drone_geometry_reconstruction	90892e931cd7c8d0de179ccdc36569790ccc4030	90892e931cd7c8d0de179ccdc36569790ccc4030	2026-09-04T15:50:57Z	0	none	NOASSERTION	no	1	no	no	no
franken_engine	bff9a4da7059717335926b4bacdbb03d96408a7f	fcb7b3877bd44021f32b383191f8b1bd4abfea1a	2026-09-26T08:17:22Z	139	none	NOASSERTION	no	24	+1 -0	no	no
franken_lean	e91da19970591cf5c0ed0c113b475d748577291c	355b2ebe21783e795ea3605bd3823f239624f280	2026-09-26T07:00:18Z	171	none	NOASSERTION	no	101	+11 -0	no	no
franken_manim	d3a8090e6950a440876f5eb389b6b9fbb5f910d4	d0026d0c89056bcacb32e6f11387111cd95dae56	2026-09-26T08:03:37Z	288	none	NOASSERTION	no	103	+16 -0	no	no
franken_markdown	88a6a99ed1ebc48c7910c28213005d8b35963079	f0c4fcc9917f168e150d98c6db3e8f85619d52b5	2026-09-26T05:56:40Z	81	none	NOASSERTION	no	1	no	no	no
franken_markdown_website	c9574d3b101a3bb820c25de6b95a1a7ffe25166a	c9574d3b101a3bb820c25de6b95a1a7ffe25166a	2026-09-22T04:29:52Z	0	none	NOASSERTION	no	0	no	no	no
franken_native_capsule	7af57e2c43d42e77eff569b133b263c4e2a858f9	7af57e2c43d42e77eff569b133b263c4e2a858f9	2026-08-20T20:16:33Z	0	none	none	no	0	no	no	no
franken_networkx	841a711634c1c38c51c6f344598e1fc7ec273dd4	8df778361b0eb6534853300bdb7daece9c9c39a0	2026-09-26T11:24:50Z	144	none	NOASSERTION	no	4	no	no	no
franken_nlp	30373ca0c7911784dd04865636eaf82f2f2dfab8	869731f938c56cdf39c0bc63a436d1eaff0dd599	2026-09-26T05:57:34Z	14	none	NOASSERTION	no	1	no	no	no
franken_node	08447a0aa5ed016d5ff9abb5aa0d44e9f5061dc4	ac8deece22ced42e23bb3ccc351250c052c6e399	2026-09-26T08:14:47Z	100	none	NOASSERTION	no	53	+2 -0	no	no
franken_numpy	7de9ba73281017127e144671df1c2f4e4276f078	72db52b6d56c74f4f5183b4bee0ad3359ad846c3	2026-09-26T10:12:35Z	206	none	NOASSERTION	no	10	no	no	no
franken_ocr	5847deef58de77150889990dfefa2e70c0bb8678	f70a526004f94376e5826ddec42338a62cd36db7	2026-09-22T17:22:46Z	1	none	NOASSERTION	no	0	no	no	no
franken_overlap	063182c85d3f3679ef0923a3ce780e8443c9d388	063182c85d3f3679ef0923a3ce780e8443c9d388	2026-09-04T05:34:15Z	0	none	NOASSERTION	no	0	no	no	no
franken_remote	fdeb7a2ec079136e4d47a24138ce18d74b30d105	620b8305ce4631f6245b05dbe907b16a8a084857	2026-09-26T07:11:43Z	182	none	NOASSERTION	no	36	no	no	no
franken_snowflake	e5f6312b2aa0fc2a74757b9eab09c6e14ccdef86	1e703fc2d92578e93ac50e574fa75d66e293de83	2026-09-26T07:19:46Z	93	v0.0.5	NOASSERTION	no	0	+0 -1	no	yes: release v0.0.5 (2026-09-25, 07ef0af); workflows +0 -1 (0 now)
